Date,Cluster,SolarMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindMWh,ThermalPowerMWh,TotalWindProduction,WD50M,WS50M,WD10M,WS10M,PS,wind_shear,wind_u_10m,wind_v_10m,wind_u_50m,wind_v_50m
2023-01-05,1,0.096,0.0,0.0,2921.518646,1178.03225,2921.518646,268.56,9.88,267.62,7.91,100.74,0.1381754016493132,-0.3284777119606172,-7.90317672792056,-0.2482853429801782,-9.876879790119004
2023-01-05,2,0.72,0.0,0.0,2090.341542,3534.569435,2090.341542,214.12,7.03,228.44,5.04,100.49,0.2067682270737624,-3.343556106309338,-3.7712375374618783,-5.819888027282735,-3.943323896142832
2023-01-05,3,0.0,269.5289,5417.946792000001,7040.571022,1172.501216,12728.046713999998,240.88,10.05,240.25,7.75,100.59,0.1614723930212313,-3.8456779034828625,-6.728540812290854,-4.89073556606301,-8.77970418766181
2023-01-05,4,0.07,0.0,0.0,2391.353552,1958.920304,2391.353552,263.44,8.12,262.56,6.03,100.56,0.1848988029519139,-0.7808119297253778,-5.979233456756688,-0.927658174273288,-8.066836450040618
2023-01-05,5,0.021,1570.33489,2256.829805,6699.478798,4870.788076,10526.643493,249.88,7.88,249.94,6.04,100.79,0.1652278039858543,-2.071744156518952,-5.6735770154224205,-2.710621337480721,-7.399116971963224
2023-01-05,6,0.09,2.25,0.0,5149.016109,4022.95535,5151.266109,154.81,8.06,168.88,6.05,100.7,0.1782332094078419,-5.936413678263555,1.1668301678159392,-7.293504890588052,3.430508185527064
2023-01-05,7,0.005,345.543108,0.0,4025.935172,703.314142,4371.47828,227.0,7.05,226.69,5.23,100.7,0.1855407632940128,-3.5874942473885363,-3.8056254446482463,-4.808088438440615,-5.1560435964151505
2023-01-05,8,0.0,0.0,0.0,303.64749,173.0,303.64749,168.25,11.65,167.62,10.05,100.54,0.0917920128296181,-9.816309114779566,2.154663631079256,-11.405879754445404,2.37242640078307
2023-01-05,9,0.0,513.2475000000001,0.0,349.208463,16025.420016999999,862.455963,211.38,9.9,210.5,7.63,100.53,0.1618247649269557,-6.574230494168841,-3.872517709390173,-8.451952858211452,-5.155045381232958
2023-01-05,10,0.053,42.2005,5595.705399,2940.764076,6758.89056,8578.669974999999,265.19,8.46,264.19,6.43,100.38,0.170478546111569,-0.6509084825851421,-6.396969450239598,-0.7093859138853735,-8.430205906452167
2023-01-06,1,0.07300000000000001,0.0,0.0,3071.170338,866.626766,3071.170338,203.69,11.08,202.56,8.72,100.92,0.1488236616944095,-8.05273060907899,-3.3454341627959616,-10.146318676256264,-4.451810566483408
2023-01-06,2,0.5,0.0,0.0,4851.1002,2965.360093,4851.1002,202.31,10.95,200.88,7.87,100.34,0.2052153682236074,-7.353168777133537,-2.804961485473282,-10.130321069874428,-4.156813084715048
2023-01-06,3,0.0,254.4133,5883.266431,6873.953543,1000.169035,13011.633274,196.81,10.91,195.81,8.25,101.02,0.1736423613109293,-7.937906270300477,-2.2476974983134097,-10.443805197886904,-3.15515974058216
